A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,707,26110,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,215383.11,0.0,0.0,0.0,0.0,0.0,43508.11,70500.0,70500.0,70500.0,43508.11
G,S,707,26110,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,215383.11,0.0,0.0,0.0,0.0,0.0,43508.11,70500.0,70500.0,70500.0,43508.11
M,S,707,26110,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,215383.11,0.0,0.0,0.0,0.0,0.0,43508.11,70500.0,70500.0,70500.0,43508.11
