A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,172,70014,C, , ,0,0, ,7,D, ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,81619.12,0.0,0.0,0.0,-70.0,0.0,66541.12,15078.0,13714.0,15078.0,66541.12
G,S,172,70014,C, , ,0,0, ,0,D, ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,81619.12,0.0,0.0,0.0,-70.0,0.0,66541.12,15078.0,13714.0,15078.0,66541.12
M,S,172,70014,C, , ,0,0, ,7,D, ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,81619.12,0.0,0.0,0.0,-70.0,0.0,66541.12,15078.0,13714.0,15078.0,66541.12
