A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,903,90385,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,14016.16,0.0,0.0,0.0,0.0,0.0,5167.41,9268.0,8425.0,9268.0,5167.41
G,S,903,90385,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,14016.16,0.0,0.0,0.0,0.0,0.0,5167.41,9268.0,8425.0,9268.0,5167.41
M,S,903,90385,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,14016.16,0.0,0.0,0.0,0.0,0.0,5167.41,9268.0,8425.0,9268.0,5167.41
