A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,80,84134,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,3325.74,0.0,0.0,0.0,0.0,0.0,3325.74,0.0,0.0,0.0,3325.74
G,S,80,84134,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,3325.74,0.0,0.0,0.0,0.0,0.0,3325.74,0.0,0.0,0.0,3325.74
M,S,80,84134,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,3325.74,0.0,0.0,0.0,0.0,0.0,3325.74,0.0,0.0,0.0,3325.74
