A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,80,87490,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,12324.62,0.0,0.0,0.0,-6962.5,0.0,1945.12,10379.5,10379.5,10379.5,1945.12
G,S,80,87490,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,12324.62,0.0,0.0,0.0,-6962.5,0.0,1945.12,10379.5,10379.5,10379.5,1945.12
M,S,80,87490,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,12324.62,0.0,0.0,0.0,-6962.5,0.0,1945.12,10379.5,10379.5,10379.5,1945.12
