A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,80,87253,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,297114.94,0.0,0.0,0.0,-5340.0,0.0,277670.94,39034.0,39034.0,39034.0,277670.94
G,S,80,87253,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,297114.94,0.0,0.0,0.0,-5340.0,0.0,277670.94,39034.0,39034.0,39034.0,277670.94
M,S,80,87253,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,297114.94,0.0,0.0,0.0,-5340.0,0.0,277670.94,39034.0,39034.0,39034.0,277670.94
