A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,109,14503,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,40569.65,0.0,0.0,237.5,0.0,0.0,38650.15,2044.5,2044.5,2044.5,38650.15
G,S,109,14503,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,40569.65,0.0,0.0,237.5,0.0,0.0,38650.15,2044.5,2044.5,2044.5,38650.15
M,S,109,14503,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,40569.65,0.0,0.0,237.5,0.0,0.0,38650.15,2044.5,2044.5,2044.5,38650.15
