A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,554,77130,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,142969.05,0.0,0.0,0.0,0.0,0.0,99144.05,27300.0,27300.0,27300.0,99144.05
G,S,554,77130,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,142969.05,0.0,0.0,0.0,0.0,0.0,99144.05,27300.0,27300.0,27300.0,99144.05
M,S,554,77130,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,142969.05,0.0,0.0,0.0,0.0,0.0,99144.05,27300.0,27300.0,27300.0,99144.05
