A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,176,ddd,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,50597.75,0.0,0.0,14537.5,0.0,0.0,47523.75,23446.5,23446.5,23446.5,47523.75
G,S,176,ddd,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,50597.75,0.0,0.0,14537.5,0.0,0.0,47523.75,23446.5,23446.5,23446.5,47523.75
R,S,176,ddd,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,50597.75,0.0,0.0,14537.5,0.0,0.0,47523.75,23446.5,23446.5,23446.5,47523.75
