A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,CCC,10916,C, , ,0,0, ,7, , ,GM,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-705.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-705.2
G,S,CCC,10916,C, , ,0,0, ,0, , ,GM,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-705.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-705.2
M,S,CCC,10916,C, , ,0,0, ,7, , ,GM,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-705.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-705.2
