A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,80,88031,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,48586.9,0.0,0.0,1420.0,-10630.0,0.0,22650.4,23654.0,23654.0,23654.0,22650.4
G,S,80,88031,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,48586.9,0.0,0.0,1420.0,-10630.0,0.0,22650.4,23654.0,23654.0,23654.0,22650.4
M,S,80,88031,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,48586.9,0.0,0.0,1420.0,-10630.0,0.0,22650.4,23654.0,23654.0,23654.0,22650.4
