A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,109,20124,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,1257918.01,0.0,0.0,0.0,0.0,0.0,1158655.51,949700.0,949700.0,949700.0,1158655.51
G,S,109,20124,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,1257918.01,0.0,0.0,0.0,0.0,0.0,1158655.51,949700.0,949700.0,949700.0,1158655.51
M,S,109,20124,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,1257918.01,0.0,0.0,0.0,0.0,0.0,1158655.51,949700.0,949700.0,949700.0,1158655.51
