A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,176,17838,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,21331.84,0.0,0.0,4031.25,-1537.5,0.0,19875.59,4081.25,4081.25,4081.25,19875.59
G,S,176,17838,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,21331.84,0.0,0.0,4031.25,-1537.5,0.0,19875.59,4081.25,4081.25,4081.25,19875.59
M,S,176,17838,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,21331.84,0.0,0.0,4031.25,-1537.5,0.0,19875.59,4081.25,4081.25,4081.25,19875.59
