A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,888,52920,C, , ,1,8, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-1.82,0.0,0.0,640.0,0.0,-1.82,0.0,0.0,0.0,0.0,-1.82
G,S,888,52920,C, , ,1,8, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-1.82,0.0,0.0,640.0,0.0,-1.82,0.0,0.0,0.0,0.0,-1.82
M,S,888,52920,C, , ,1,8, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-1.82,0.0,0.0,640.0,0.0,-1.82,0.0,0.0,0.0,0.0,-1.82
