A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,554,77070,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,3076.83,0.0,0.0,0.0,-450.0,0.0,822.83,2254.0,2254.0,2254.0,822.83
G,S,554,77070,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,3076.83,0.0,0.0,0.0,-450.0,0.0,822.83,2254.0,2254.0,2254.0,822.83
M,S,554,77070,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,3076.83,0.0,0.0,0.0,-450.0,0.0,822.83,2254.0,2254.0,2254.0,822.83
