A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,80,88141,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,68130.12,0.0,0.0,0.0,0.0,0.0,47430.12,22000.0,20000.0,22000.0,47430.12
G,S,80,88141,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,68130.12,0.0,0.0,0.0,0.0,0.0,47430.12,22000.0,20000.0,22000.0,47430.12
M,S,80,88141,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,68130.12,0.0,0.0,0.0,0.0,0.0,47430.12,22000.0,20000.0,22000.0,47430.12
