A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,80,85242,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,2615.66,0.0,0.0,0.0,0.0,0.0,2615.66,0.0,0.0,0.0,2615.66
G,S,80,85242,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,2615.66,0.0,0.0,0.0,0.0,0.0,2615.66,0.0,0.0,0.0,2615.66
M,S,80,85242,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,2615.66,0.0,0.0,0.0,0.0,0.0,2615.66,0.0,0.0,0.0,2615.66
