A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,524,90082,C, , ,1,1, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-12471.39,0.0,0.0,18481.25,0.0,-38026.39,0.0,25300.0,22323.75,25300.0,-38026.39
G,S,524,90082,C, , ,1,1, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-12471.39,0.0,0.0,18481.25,0.0,-38026.39,0.0,25300.0,22323.75,25300.0,-38026.39
M,S,524,90082,C, , ,1,1, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-12471.39,0.0,0.0,18481.25,0.0,-38026.39,0.0,25300.0,22323.75,25300.0,-38026.39
