A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,536,97106,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,22120.56,0.0,0.0,0.0,0.0,0.0,13420.56,10200.0,10200.0,10200.0,13420.56
G,S,536,97106,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,22120.56,0.0,0.0,0.0,0.0,0.0,13420.56,10200.0,10200.0,10200.0,13420.56
M,S,536,97106,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,22120.56,0.0,0.0,0.0,0.0,0.0,13420.56,10200.0,10200.0,10200.0,13420.56
