A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,176,17831,C, , ,2,2, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,18600.0,0.0,0.0,0.0,0.0,-1300.0,0.0,8200.0,8200.0,8200.0,-1300.0
G,S,176,17831,C, , ,2,2, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,18600.0,0.0,0.0,0.0,0.0,-1300.0,0.0,8200.0,8200.0,8200.0,-1300.0
M,S,176,17831,C, , ,2,2, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,18600.0,0.0,0.0,0.0,0.0,-1300.0,0.0,8200.0,8200.0,8200.0,-1300.0
