A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,777,777,H,S, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,584.96,0.0,0.0,0.0,0.0,0.0,584.96,0.0,0.0,0.0,584.96
G,S,777,777,H,S, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,584.96,0.0,0.0,0.0,0.0,0.0,584.96,0.0,0.0,0.0,584.96
M,S,777,777,H,S, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,584.96,0.0,0.0,0.0,0.0,0.0,584.96,0.0,0.0,0.0,584.96
