A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,80,86077,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,113901.6,0.0,0.0,0.0,0.0,0.0,107317.98,54560.0,54560.0,54560.0,107317.98
G,S,80,86077,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,113901.6,0.0,0.0,0.0,0.0,0.0,107317.98,54560.0,54560.0,54560.0,107317.98
M,S,80,86077,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,113901.6,0.0,0.0,0.0,0.0,0.0,107317.98,54560.0,54560.0,54560.0,107317.98
