A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,186,10016,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-78292.34,0.0,0.0,0.0,-11481.25,0.0,0.0,19985.25,19985.25,19985.25,-98277.59
G,S,186,10016,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-78292.34,0.0,0.0,0.0,-11481.25,0.0,0.0,19985.25,19985.25,19985.25,-98277.59
M,S,186,10016,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-78292.34,0.0,0.0,0.0,-11481.25,0.0,0.0,19985.25,19985.25,19985.25,-98277.59
