A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,888,45061,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,622.52,0.0,0.0,0.0,0.0,0.0,142.77,451.0,410.0,451.0,142.77
G,S,888,45061,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,622.52,0.0,0.0,0.0,0.0,0.0,142.77,451.0,410.0,451.0,142.77
M,S,888,45061,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,622.52,0.0,0.0,0.0,0.0,0.0,142.77,451.0,410.0,451.0,142.77
