A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,80,82121,C, , ,0,0, ,7,D, ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-76754.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76754.55
G,S,80,82121,C, , ,0,0, ,0,D, ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-76754.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76754.55
M,S,80,82121,C, , ,0,0, ,7,D, ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-76754.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76754.55
