A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,306,30689,C, , ,0,0, ,7, , ,MX,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-686.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-686.92
G,S,306,30689,C, , ,0,0, ,0, , ,MX,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-686.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-686.92
M,S,306,30689,C, , ,0,0, ,7, , ,MX,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-686.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-686.92
