A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,CCC,13033,C,O, ,0,0, ,7, , ,MT,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,48213.72,0.0,0.0,0.0,0.0,0.0,48213.72,0.0,0.0,0.0,48213.72
G,S,CCC,13033,C,O, ,0,0, ,0, , ,MT,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,48213.72,0.0,0.0,0.0,0.0,0.0,48213.72,0.0,0.0,0.0,48213.72
M,S,CCC,13033,C,O, ,0,0, ,7, , ,MT,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,56983.46,0.0,0.0,0.0,0.0,0.0,56983.46,0.0,0.0,0.0,56983.46
