A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,554,77748,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,47440.61,0.0,0.0,0.0,-5125.0,0.0,2050.61,37545.0,37545.0,37545.0,2050.61
G,S,554,77748,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,47440.61,0.0,0.0,0.0,-5125.0,0.0,2050.61,37545.0,37545.0,37545.0,2050.61
M,S,554,77748,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,47440.61,0.0,0.0,0.0,-5125.0,0.0,2050.61,37545.0,37545.0,37545.0,2050.61
