A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,450,10001,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,553.51,0.0,0.0,425.0,0.0,0.0,553.51,0.0,0.0,0.0,553.51
G,S,450,10001,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,553.51,0.0,0.0,425.0,0.0,0.0,553.51,0.0,0.0,0.0,553.51
M,S,450,10001,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,553.51,0.0,0.0,425.0,0.0,0.0,553.51,0.0,0.0,0.0,553.51
