A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,CCC,22000,D,C, ,93,99, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-1206487692.0,0.0,-9986860.0,0.0,0.0,-1206487692.0,0.0,0.0,0.0,0.0,-1206487692.0
G,S,CCC,22000,D,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,384.72,0.0,0.0,0.0,0.0,0.0,384.72,0.0,0.0,0.0,384.72
G,S,CCC,22000,D,C, ,93,99, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-1206487307.0,0.0,-9986860.0,0.0,0.0,-1206487692.0,384.72,0.0,0.0,0.0,-1206487307.0
M,S,CCC,22000,D,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-46684.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46684.23
M,S,CCC,22000,D,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-39060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39060.0
M,S,CCC,22000,D,C, ,3,99, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-1206432516.0,0.0,-9986860.0,0.0,0.0,-1206487692.0,0.0,0.0,0.0,0.0,-1206432516.0
M,S,CCC,22000,D,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,738.95,0.0,0.0,0.0,0.0,0.0,738.95,0.0,0.0,0.0,738.95
