A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,544,97712,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,94352.95,0.0,0.0,0.0,0.0,0.0,39202.95,19700.0,19700.0,19700.0,39202.95
G,S,544,97712,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,94352.95,0.0,0.0,0.0,0.0,0.0,39202.95,19700.0,19700.0,19700.0,39202.95
M,S,544,97712,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,94352.95,0.0,0.0,0.0,0.0,0.0,39202.95,19700.0,19700.0,19700.0,39202.95
