A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,531,96415,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,153830.58,0.0,0.0,0.0,0.0,0.0,145605.58,27775.0,25250.0,27775.0,145605.58
G,S,531,96415,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,153830.58,0.0,0.0,0.0,0.0,0.0,145605.58,27775.0,25250.0,27775.0,145605.58
M,S,531,96415,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,153830.58,0.0,0.0,0.0,0.0,0.0,145605.58,27775.0,25250.0,27775.0,145605.58
