A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,510,92114,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,2154.79,0.0,0.0,0.0,0.0,0.0,2154.79,0.0,0.0,0.0,2154.79
G,S,510,92114,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,2154.79,0.0,0.0,0.0,0.0,0.0,2154.79,0.0,0.0,0.0,2154.79
M,S,510,92114,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,2154.79,0.0,0.0,0.0,0.0,0.0,2154.79,0.0,0.0,0.0,2154.79
