A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,900,90010,C, , ,0,0, ,7,Y, ,CH,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,297826.0,0.0,0.0,0.0,-9450.0,0.0,202295.0,95531.0,87705.0,95531.0,202295.0
G,S,900,90010,C, , ,0,0, ,0,Y, ,CH,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,297826.0,0.0,0.0,0.0,-9450.0,0.0,202295.0,95531.0,87705.0,95531.0,202295.0
M,S,900,90010,C, , ,0,0, ,7,Y, ,CH,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,297826.0,0.0,0.0,0.0,-9450.0,0.0,202295.0,95531.0,87705.0,95531.0,202295.0
