A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,176,18092,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,1117.5,0.0,0.0,3075.0,0.0,0.0,1117.5,0.0,0.0,0.0,1117.5
G,S,176,18092,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,1117.5,0.0,0.0,3075.0,0.0,0.0,1117.5,0.0,0.0,0.0,1117.5
M,S,176,18092,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,1117.5,0.0,0.0,3075.0,0.0,0.0,1117.5,0.0,0.0,0.0,1117.5
