A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,554,88888,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,579001.42,0.0,0.0,0.0,0.0,0.0,49321.42,615600.0,615600.0,615600.0,49321.42
G,S,554,88888,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,85000.0,0.0,0.0,0.0,0.0,0.0,85000.0,0.0,0.0,0.0,85000.0
G,S,554,88888,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,664001.42,0.0,0.0,0.0,0.0,0.0,134321.42,615600.0,615600.0,615600.0,134321.42
M,S,554,88888,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,579001.42,0.0,0.0,0.0,0.0,0.0,49321.42,615600.0,615600.0,615600.0,49321.42
M,S,554,88888,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,85000.0,0.0,0.0,0.0,0.0,0.0,85000.0,0.0,0.0,0.0,85000.0
