A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,554,88828,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,207245.96,0.0,0.0,0.0,0.0,0.0,205825.96,9600.0,9600.0,9600.0,205825.96
G,S,554,88828,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,207245.96,0.0,0.0,0.0,0.0,0.0,205825.96,9600.0,9600.0,9600.0,205825.96
M,S,554,88828,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,207245.96,0.0,0.0,0.0,0.0,0.0,205825.96,9600.0,9600.0,9600.0,205825.96
