A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,186,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,100072.19,0.0,0.0,0.0,-16858.75,0.0,47952.44,55069.75,55069.75,55069.75,47952.44
G,S,186,eee,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,100072.19,0.0,0.0,0.0,-16858.75,0.0,47952.44,55069.75,55069.75,55069.75,47952.44
G,S,186,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,437842.87,0.0,0.0,12125.0,0.0,0.0,140650.37,322705.0,322705.0,322705.0,140650.37
G,S,186,eee,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,437842.87,0.0,0.0,12125.0,0.0,0.0,140650.37,322705.0,322705.0,322705.0,140650.37
G,S,186,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,749.27,0.0,0.0,0.0,0.0,0.0,749.27,0.0,0.0,0.0,749.27
G,S,186,eee,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,749.27,0.0,0.0,0.0,0.0,0.0,749.27,0.0,0.0,0.0,749.27
G,S,186,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,2304.18,0.0,0.0,0.0,0.0,0.0,2304.18,0.0,0.0,0.0,2304.18
G,S,186,eee,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,2304.18,0.0,0.0,0.0,0.0,0.0,2304.18,0.0,0.0,0.0,2304.18
G,S,186,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,77.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,77.0
G,S,186,eee,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,77.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,77.0
G,S,186,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,0.16,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.16
G,S,186,eee,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,0.16,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.16
G,S,186,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,119629.23,0.0,0.0,45310.0,-40041.25,0.0,75875.48,73281.25,73281.25,73281.25,75875.48
G,S,186,eee,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,119629.23,0.0,0.0,45310.0,-40041.25,0.0,75875.48,73281.25,73281.25,73281.25,75875.48
G,S,186,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,56.87,0.0,0.0,0.0,0.0,0.0,56.87,0.0,0.0,0.0,56.87
G,S,186,eee,R,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,56.87,0.0,0.0,0.0,0.0,0.0,56.87,0.0,0.0,0.0,56.87
G,S,186,eee,R,C, ,2,2, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,17875.8,0.0,0.0,0.0,-1962.5,-6777.7,0.0,17618.5,17618.5,17618.5,-6777.7
G,S,186,eee,R,C, ,2,2, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,17875.8,0.0,0.0,0.0,-1962.5,-6777.7,0.0,17618.5,17618.5,17618.5,-6777.7
R,S,186,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,100072.19,0.0,0.0,0.0,-16858.75,0.0,47952.44,55069.75,55069.75,55069.75,47952.44
R,S,186,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,437842.87,0.0,0.0,12125.0,0.0,0.0,140650.37,322705.0,322705.0,322705.0,140650.37
R,S,186,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,749.27,0.0,0.0,0.0,0.0,0.0,749.27,0.0,0.0,0.0,749.27
R,S,186,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,2304.18,0.0,0.0,0.0,0.0,0.0,2304.18,0.0,0.0,0.0,2304.18
R,S,186,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,77.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,77.0
R,S,186,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,0.16,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.16
R,S,186,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,119629.23,0.0,0.0,45310.0,-40041.25,0.0,75875.48,73281.25,73281.25,73281.25,75875.48
R,S,186,eee,R,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,56.87,0.0,0.0,0.0,0.0,0.0,56.87,0.0,0.0,0.0,56.87
R,S,186,eee,R,C, ,2,2, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,17875.8,0.0,0.0,0.0,-1962.5,-6777.7,0.0,17618.5,17618.5,17618.5,-6777.7
