A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,905,65001,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,5500.15,0.0,0.0,0.0,0.0,0.0,5500.15,0.0,0.0,0.0,5500.15
G,S,905,65001,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,239.02,0.0,0.0,0.0,0.0,0.0,239.02,0.0,0.0,0.0,239.02
G,S,905,65001,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,5739.17,0.0,0.0,0.0,0.0,0.0,5739.17,0.0,0.0,0.0,5739.17
M,S,905,65001,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,5500.15,0.0,0.0,0.0,0.0,0.0,5500.15,0.0,0.0,0.0,5500.15
M,S,905,65001,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,239.02,0.0,0.0,0.0,0.0,0.0,239.02,0.0,0.0,0.0,239.02
