A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,613,57166,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,16.53,0.0,0.0,0.0,0.0,0.0,16.53,0.0,0.0,0.0,16.53
G,S,613,57166,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,16.53,0.0,0.0,0.0,0.0,0.0,16.53,0.0,0.0,0.0,16.53
M,S,613,57166,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,16.53,0.0,0.0,0.0,0.0,0.0,16.53,0.0,0.0,0.0,16.53
