A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,176,17928,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,28544.85,0.0,0.0,23200.0,0.0,0.0,22518.35,21994.0,21994.0,21994.0,22518.35
G,S,176,17928,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,28544.85,0.0,0.0,23200.0,0.0,0.0,22518.35,21994.0,21994.0,21994.0,22518.35
M,S,176,17928,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,28544.85,0.0,0.0,23200.0,0.0,0.0,22518.35,21994.0,21994.0,21994.0,22518.35
