A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,513,80142,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,865.39,0.0,0.0,143.75,-56.25,0.0,864.89,0.5,0.5,0.5,864.89
G,S,513,80142,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,865.39,0.0,0.0,143.75,-56.25,0.0,864.89,0.5,0.5,0.5,864.89
M,S,513,80142,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,865.39,0.0,0.0,143.75,-56.25,0.0,864.89,0.5,0.5,0.5,864.89
