A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,643,30672,C, , ,0,0, ,7,D, ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,7723.42,0.0,0.0,0.0,0.0,0.0,7723.42,0.0,0.0,0.0,7723.42
G,S,643,30672,C, , ,0,0, ,0,D, ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,7723.42,0.0,0.0,0.0,0.0,0.0,7723.42,0.0,0.0,0.0,7723.42
M,S,643,30672,C, , ,0,0, ,7,D, ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,7723.42,0.0,0.0,0.0,0.0,0.0,7723.42,0.0,0.0,0.0,7723.42
