A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,80,86100,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,17035.36,0.0,0.0,0.0,0.0,0.0,17035.36,0.0,0.0,0.0,17035.36
G,S,80,86100,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,17035.36,0.0,0.0,0.0,0.0,0.0,17035.36,0.0,0.0,0.0,17035.36
M,S,80,86100,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,17035.36,0.0,0.0,0.0,0.0,0.0,17035.36,0.0,0.0,0.0,17035.36
