A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,   ,eee,B,C, ,29,66, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-1130792.65,0.0,0.0,0.0,0.0,-2505879.77,0.0,581186.86,581186.86,581186.86,-2505879.77
G,S,   ,eee,B,C, ,29,66, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-1130792.65,0.0,0.0,0.0,0.0,-2505879.77,0.0,581186.86,581186.86,581186.86,-2505879.77
G,S,   ,eee,B,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,S,   ,eee,B,C, ,6,18, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-51071.3,0.0,0.0,0.0,0.0,-126063.87,0.0,43259.13,43259.13,43259.13,-85352.12
G,S,   ,eee,B,C, ,6,18, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-51071.3,0.0,0.0,0.0,0.0,-126063.87,0.0,43259.13,43259.13,43259.13,-85352.12
G,S,   ,eee,B,H, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.28
G,S,   ,eee,B,H, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.28
G,S,   ,eee,T, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-347097.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-347097.46
G,S,   ,eee,T, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-3666.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3666.83
G,S,   ,eee,T, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-350764.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-350764.29
G,S,   ,eee,T,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-347097.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-347097.46
G,S,   ,eee,T,C, ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-3666.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3666.83
G,S,   ,eee,T,C, ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,-350764.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-350764.29
G,S,   ,eee,T, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,184872.91,0.0,0.0,0.0,0.0,0.0,184872.91,0.0,0.0,0.0,184872.91
