A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,957,95758,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,50.75,0.0,0.0,0.0,0.0,0.0,50.75,0.0,0.0,0.0,50.75
G,S,957,95758,C, , ,0,0, ,0, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,50.75,0.0,0.0,0.0,0.0,0.0,50.75,0.0,0.0,0.0,50.75
M,S,957,95758,C, , ,0,0, ,7, , ,US,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,50.75,0.0,0.0,0.0,0.0,0.0,50.75,0.0,0.0,0.0,50.75
