A,B,CCC,eee,G,H,M,N,O,P,Q,R,S,T,U,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ
G,S,625,10011,C, , ,0,0, ,7, , ,UK,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,46.52,0.0,0.0,0.0,0.0,0.0,46.52,0.0,0.0,0.0,46.52
G,S,625,10011,C, , ,0,0, ,0, , ,UK,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,46.52,0.0,0.0,0.0,0.0,0.0,46.52,0.0,0.0,0.0,46.52
M,S,625,10011,C, , ,0,0, ,7, , ,UK,  , ,   ,     , , ,   ,     , , ,   ,     ,     ,46.52,0.0,0.0,0.0,0.0,0.0,46.52,0.0,0.0,0.0,46.52
